keyword,title,authors,keywords_in_description,description,goodreads_url
mental,Lychee Light Club,Usamaru Furuya,,"The Lychee Light Club is considered Usamaru Furuya's breakthrough work. Originally designed as an experiemental project Lychee's themes of youthful rebellion and deus ex machina destruction, and attractive designs eventually won over a new generation of readers and critics, leading the way for Furuya to take on his many recent high profile properties.
In an abandoned warehouse, a band of nine students have assembled to plot out a new future. Their ""leader"" Zera is determined to cleanse his community of the ugly and cowardly. Having taken command of a band of young men to build him a god-like machine capable of changing the world. This machine, named ""Lychee,"" will give them what they've been searching for...a beauty of the finest quality.
A surreal yet touching horror comedy Furuya's Lychee Light Club that mixes elements of French Le Theatre du Grand-Guignol and with modern day pop culture tropes and is set in modern day Tokyo. Shocking, sexy and innovative, the Lychee Light Clubis at the pinnacle of modern day Japanese seinenmanga (adult comics).",https://www.goodreads.com/book/show/9858341-lychee-light-club
mental,Il Nao di Brown,Glyn Dillon Francesco Savino,,"Nao Brown e un'hafu per meta inglese e per meta giapponese che lavora in un negozio di art toys di Londra. La sua vita, tormentata da pensieri ossessivo-compulsivi, scorre da tempo con la convinzione che il mondo sia diviso in bianco e nero. Ma la ricerca dell'anima gemella le fara riconsiderare se stessa e le permettera di esplorare la variegata gamma di colori dietro cui si nasconde l'animo umano. Il capolavoro di Glyn Dillon, da molti indicato come il libro dell'anno, arriva dall'Inghilterra in un'edizione sontuosa, cartonata con debossing, sovraccoperta con mappa all'interno e bordi del libro rossi. Un libro che vi cambiera.",https://www.goodreads.com/book/show/18759997-il-nao-di-brown
mental,"Saiyuki, Vol. 6",Kazuya Minekura,,,https://www.goodreads.com/book/show/1048050.Saiyuki_Vol_6
mental,My Lesbian Experience With Loneliness,Kabi Nagata,mental,"The heart-rending autobiographical manga that's taken the internet by storm!
My Lesbian Experience with Loneliness is an honest and heartfelt look at one young woman's exploration of her sexuality, mental well-being, and growing up in our modern age. Told using expressive artwork that invokes both
laughter and tears, this moving and highly entertaining single volume depicts not only the artist's burgeoning sexuality, but many other personal aspects of her life that will resonate with readers.",https://www.goodreads.com/book/show/35373488-my-lesbian-experience-with-loneliness
mental,My Friend Dahmer,Derf Backderf,,"Includes eBook exclusive bonus material! You only think you know this story. In 1991, Jeffrey Dahmer--the most notorious serial killer since Jack the Ripper--seared himself into the American consciousness. To the public, Dahmer was a monster who committed unthinkable atrocities. To Derf Backderf, ""Jeff"" was a much more complex figure: a high school friend with whom he had shared classrooms, hallways, and car rides. In My Friend Dahmer, a haunting and original graphic novel, writer-artist Backderf creates a surprisingly sympathetic portrait of a disturbed young man struggling against the morbid urges emanating from the deep recesses of his psyche--a shy kid, a teenage alcoholic, and a goofball who never quite fit in with his classmates. With profound insight, what emerges is a Jeffrey Dahmer that few ever really knew, and one readers will never forget.",https://www.goodreads.com/book/show/17739826-my-friend-dahmer
mental,Thanos Rising #5 (MARVEL NOW),Jason Aaron Simone Bianchi,,"Thanos' Rise is now complete.... setting the stage for Marvel's massive, universe changing event: INFINITY!",https://www.goodreads.com/book/show/18455167-thanos-rising-5
mental,Mein Freund Dahmer: Graphic Novel,Derf Backderf Stefan Pannor,,"Eine kraftvolle und psychologisch glaubwurdig erzahlte Graphic Novel uber die Jugendjahre eines der schrecklichsten Serienmorder der US-Geschichte.
Jeffrey Dahmer, (The Milwaukee Monster), war ein US-amerikanischer Serienmorder, der zwischen 1978 und 1991 siebzehn Manner totete. Erzahlt wird seine Geschichte bis zum ersten Mord aus Sicht von Derf Backderf, der mit Dahmer zur Highschool ging. -
""Mein Freund Dahmer"" ist die Nummer 4 auf der Liste der besten non-fiction Bucher des Jahres 2012 des TIME MAGAZINE",https://www.goodreads.com/book/show/19087515-mein-freund-dahmer
mental,Marbles,Ellen Forney Micol Beltramini,,"Marbles e un memoir sul disturbo bipolare. Per l'autrice la diagnosi e arrivata poco prima dei trent'anni, in un momento in cui si sentiva brillantissima e ipercreativa. E totalmente schizzata, d'accordo; ma non lo siamo tutti? E poi in fondo anche Michelangelo era bipolare. E Jeff Buckley, Van Gogh, Sylvia Plath... il meglio del meglio, insomma. Certo, constatare che sono quasi tutti morti suicidi probabilmente non e il massimo della vita, ma, ehi, si puo sempre far finta di nulla. E se poi gli psicofarmaci ti rendono come tutti gli altri? Cosa scegli, l'arte a tutti i costi o salvare la pelle?",https://www.goodreads.com/book/show/22678051-marbles
mental,Gentleman Jim,Raymond Briggs Seth,,"A graphic novel classic from one of the world's best-known cartoonists
Gentleman Jimis the story of Jim Bloggs, an imaginative toilet cleaner who, dissatisfied with his station in life, devotes his time to envisioning a world beyond it. His walls are lined with books like Out in the Silver West, The Boys' Book of Pirates, and Executive Opportunities, which provide fodder for his ruminations on career change. Encouraged by his wife, who is also eager to incorporate more adventure into her life, Jim sets out to bring these dreams to fruition by accumulating various accoutrements, only to discover that the life of an executive, an artist, or a cowboy is more complicated and costly than it appears.
Jim's childlike understanding of the world that surrounds him is enhanced by Raymond Briggs's subtle and inventive illustrations. Fantasies are portrayed as organic clouds that move between and overlap outlined panels of his reality, and myopic Jim is drawn smaller and softer than the policemen and bureaucrats interested in impeding his search for adventure. As he begins to infringe more seriously on the law, the city workers and their speech boxes become increasingly angular, much like the rigid rules and regulations restricting his sincere quest. With this playful style, Briggs expertly transforms common feelings of inadequacy into an endearing and enjoyable experience that speaks across generations, concluding with an optimistic implication that even a misfortunate outcome can be better than no change at all.
This classic novel, originally published in 1980, is presented by Drawn & Quarterly in a new edition.",https://www.goodreads.com/book/show/3429696-gentleman-jim
mental,Klas Katt blir deprimerad,Gunnar Lundkvist,,"Gunnar Lundkvists serier kannetecknas av en absurd humor och en minimalistisk skarpa i ord och bild.
Klas Katt ar en av de forsta svenska vuxenserierna. Sedan 1979 har Klas katt stirrat ner i tillvarons svarta hal. Sa aven i denna bok som till stor del handlar om Klas Katts komplicerade vanskap med Olle Angest. Deras vanskap kannetecknas av standiga uppbrott och beskvikelser. Klas Katt vill ofta dra sig tillbaka till ensamhetens lugn. Han ar inte intresserad av sallskap. Kaffet smakar bast hemma.
Olle Angest vill arbeta och gora ratt for sig. Men det finns ingen plats for honom i samhallet. Han far noja sig med sin nagot dysfunktionella familj. Men aven denna gemenskap hotas av sonderfall. Olles pappa har rymt fran darhuset Olles fru har borjat trottna pa ett aktenskap som stagnerat. Nar Olles okanda son dyker upp blir det for mycket for Olle. Han klarar inte av den hastigt pakomna papparollen.
Gunnar Lundkvists serier kannetecknas av en absurd humor och en minimalistisk skarpa i ord och bild. Om ""Klas Katt i Vilda Vastern"" som utgavs 2010 skrev Jonas Thente i Dagens Nyheter: ""i ovrigt i denna bok: isolering, angest, tystnad, svarta, besvikelser och myckna mangder kaffe. Lundkvists Sverigebild ar skoningslos och in i granskogsmargen sann.""
""Klas Katt blir deprimerad"" ar den attonde boken i ordningen. Gunnar Lundkvist gav 2012 ut den omfangsrika volymen ""Klas Katt dricker kaffe"" som innehaller bocker utgivna mellan 1979 och 1992. I samarbete med Anna Hoglund gjorde han barnbockerna om Igelkotten och Mullvaden som gavs ut 1998 och 1999.",https://www.goodreads.com/book/show/23357627-klas-katt-blir-deprimerad
